story,gen,ind,model,temp,valid,validation,fitness,time_llm,time_lean,sgm_sd_sum,sgm_max,lcom_avg,coupling_max
g03-loudoun,4,8,gpt-5.1,0.5,True,,31.185,25.61,2.33,14.933,6.0,0.252,10.0
g03-loudoun,4,9,gpt-5.1,0.5,True,,32.335,17.82,1.97,16.138,6.0,0.197,10.0
g03-loudoun,5,0,gpt-5.1,0.5,True,,25.412,0.0,0.0,11.161,11.0,0.251,3.0
g03-loudoun,5,1,gpt-5.1,0.5,True,,27.921,0.0,0.0,10.611,10.0,0.31,7.0
g03-loudoun,5,2,gpt-5.1,0.5,True,,28.200000000000003,0.0,0.0,12.935,9.0,0.265,6.0
g03-loudoun,5,3,gpt-5.1,0.5,True,,29.315,0.0,0.0,17.08,5.0,0.235,7.0
g03-loudoun,5,4,gpt-5.1,0.5,True,,29.378,0.0,0.0,13.283,11.0,0.095,5.0
g03-loudoun,5,5,gpt-5.1,0.5,True,,37.436,29.84,2.22,20.188,6.0,0.248,11.0
g03-loudoun,5,6,gpt-5.1,0.5,True,,29.298,19.34,2.21,17.051,5.0,0.247,7.0
g03-loudoun,5,7,gpt-5.1,0.5,True,,36.559,23.05,2.72,17.329,7.0,0.23,12.0
g03-loudoun,5,8,gpt-5.1,0.5,True,,30.5,14.47,2.76,14.223,7.0,0.277,9.0
g03-loudoun,5,9,gpt-5.1,0.5,True,,31.075,26.68,5.47,14.846,6.0,0.229,10.0
g04-recycling,1,0,gemini-3.1-pro-preview,0.5,True,,15.857,36.6,3.44,3.755,10.0,0.102,2.0
g04-recycling,1,1,gemini-3.1-pro-preview,0.5,True,,12.172,38.9,3.3,2.075,9.0,0.097,1.0
g04-recycling,1,2,gemini-3.1-pro-preview,0.5,True,,16.096,32.37,5.82,3.943,10.0,0.153,2.0
g04-recycling,1,3,gemini-3.1-pro-preview,0.5,True,,16.914,39.72,3.01,2.773,12.0,0.141,2.0
g04-recycling,1,4,gemini-3.1-pro-preview,0.5,True,,14.629,30.33,2.71,5.306,6.0,0.323,3.0
g04-recycling,1,5,gemini-3.1-pro-preview,0.5,True,,15.174,40.3,2.83,3.024,10.0,0.15,2.0
g04-recycling,1,6,gemini-3.1-pro-preview,0.5,True,,14.144,23.9,2.75,3.589,8.0,0.555,2.0
g04-recycling,1,7,gemini-3.1-pro-preview,0.5,True,,12.834,38.71,2.75,2.688,9.0,0.146,1.0
g04-recycling,1,8,gemini-3.1-pro-preview,0.5,True,,15.842,33.22,2.78,3.698,10.0,0.144,2.0
g04-recycling,1,9,gemini-3.1-pro-preview,0.5,True,,18.183,36.41,2.78,5.079,11.0,0.104,2.0
g04-recycling,2,0,gemini-3.1-pro-preview,0.5,True,,12.172,0.0,0.0,2.075,9.0,0.097,1.0
g04-recycling,2,1,gemini-3.1-pro-preview,0.5,True,,12.834,0.0,0.0,2.688,9.0,0.146,1.0
g04-recycling,2,2,gemini-3.1-pro-preview,0.5,True,,14.144,0.0,0.0,3.589,8.0,0.555,2.0
g04-recycling,2,3,gemini-3.1-pro-preview,0.5,True,,14.629,0.0,0.0,5.306,6.0,0.323,3.0
g04-recycling,2,4,gemini-3.1-pro-preview,0.5,True,,15.174,0.0,0.0,3.024,10.0,0.15,2.0
g04-recycling,2,5,gemini-3.1-pro-preview,0.5,True,,11.685,32.82,2.83,4.518,5.0,0.167,2.0
g04-recycling,2,6,gemini-3.1-pro-preview,0.5,True,,8.794,30.79,2.82,3.742,4.0,0.052,1.0
g04-recycling,2,7,gemini-3.1-pro-preview,0.5,True,,11.68,34.94,2.85,4.596,5.0,0.084,2.0
g04-recycling,2,8,gemini-3.1-pro-preview,0.5,True,,9.316,31.21,2.84,4.139,4.0,0.177,1.0
g04-recycling,2,9,gemini-3.1-pro-preview,0.5,True,,9.68,34.61,2.74,3.573,4.0,0.107,2.0
g04-recycling,3,0,gemini-3.1-pro-preview,0.5,True,,8.794,0.0,0.0,3.742,4.0,0.052,1.0
g04-recycling,3,1,gemini-3.1-pro-preview,0.5,True,,9.316,0.0,0.0,4.139,4.0,0.177,1.0
g04-recycling,3,2,gemini-3.1-pro-preview,0.5,True,,9.68,0.0,0.0,3.573,4.0,0.107,2.0
g04-recycling,3,3,gemini-3.1-pro-preview,0.5,True,,11.68,0.0,0.0,4.596,5.0,0.084,2.0
g04-recycling,3,4,gemini-3.1-pro-preview,0.5,True,,11.685,0.0,0.0,4.518,5.0,0.167,2.0
g04-recycling,3,5,gemini-3.1-pro-preview,0.5,True,,11.674,30.74,2.77,5.576,4.0,0.098,2.0
g04-recycling,3,6,gemini-3.1-pro-preview,0.5,True,,10.284,36.73,2.73,4.195,4.0,0.089,2.0
g04-recycling,3,7,gemini-3.1-pro-preview,0.5,True,,9.341,34.39,2.78,4.186,4.0,0.155,1.0
g04-recycling,3,8,gemini-3.1-pro-preview,0.5,True,,11.86,42.25,2.8,4.74,5.0,0.12,2.0
g04-recycling,3,9,gemini-3.1-pro-preview,0.5,True,,12.823,30.69,5.86,5.721,5.0,0.102,2.0
g04-recycling,4,0,gemini-3.1-pro-preview,0.5,True,,8.794,0.0,0.0,3.742,4.0,0.052,1.0
g04-recycling,4,1,gemini-3.1-pro-preview,0.5,True,,9.316,0.0,0.0,4.139,4.0,0.177,1.0
g04-recycling,4,2,gemini-3.1-pro-preview,0.5,True,,9.341,0.0,0.0,4.186,4.0,0.155,1.0
g04-recycling,4,3,gemini-3.1-pro-preview,0.5,True,,9.68,0.0,0.0,3.573,4.0,0.107,2.0
